Year,Volcanic Forcing,Solar Forcing
1838,0.070331314,0.088002905
1839,0.187089184,0.099828149
1840,0.226484038,0.086146436
1841,0.23972512,0.063712793
1842,0.244173302,0.030920361
1843,0.245667518,-0.003931348
1844,0.12530936,-0.034258887
1845,-0.06458868,-0.052792383
1846,0.119042415,-0.05404043
1847,0.202593343,-0.041669165
1848,0.23165303,-0.029329102
1849,0.241459673,-0.016957837
1850,0.244765938,-0.004586572
1851,0.245929087,0.007755115
1852,0.242396311,0.002283199
1853,0.241635914,0.001503155
1854,0.246621542,-0.008608617
1855,0.077856442,-0.022483778
1856,-0.181683229,-0.031076153
1857,0.075096114,-0.033493861
1858,0.189100651,-0.027442585
1859,0.227882656,-0.010582326
1860,0.240698349,0.003677079
1861,0.21461289,0.014255227
1862,0.061117769,0.012137769
1863,-0.20803213,-0.000113051
1864,-0.680427458,-0.00729009
1865,-0.116378387,-0.014365156
1866,0.127163903,-0.02002363
1867,0.20788918,-0.022910636
1868,0.234372734,-0.027321755
1869,0.243025105,-0.017514599
1870,0.245850439,0.00030808
1871,0.246772378,0.001711748
1872,0.247070816,0.012501711
1873,0.1844022,0.006781097
1874,0.183250385,-0.002874825
1875,0.24717772,-0.011223703
1876,0.235867494,-0.026864081
1877,0.218815521,-0.034041629
1878,0.235967574,-0.038585891
1879,0.243391743,-0.044414996
1880,0.218590396,-0.043133184
1881,0.190830483,-0.02914475
1882,0.218266042,-0.009765283
1883,0.246779302,-0.0139294
1884,-1.349005331,-0.016904667
1885,-1.425945081,0.006303574
1886,-0.316226809,-0.008147652
1887,-0.107239907,-0.024589088
1888,0.110246915,-0.0347705
1889,0.217854687,-0.03873455
1890,0.241521664,-0.040153643
1891,-0.120851399,-0.036669284
1892,-0.022300769,-0.011180534
1893,0.045078369,0.009687197
1894,0.19148552,0.026166585
1895,0.229337003,0.045983347
1896,0.240604161,0.027203746
1897,0.243676887,0.001572803
1898,0.24436482,-0.014835431
1899,0.24437501,-0.022544941
1900,0.244193849,-0.031760399
1901,0.243959143,-0.037104946
1902,0.24374347,-0.046172392
1903,-0.517001654,-0.044020665
1904,-0.495352682,-0.025593424
1905,-0.006572171,0.007650937
1906,0.189095665,-0.007035736
1907,0.179369205,0.016989508
1908,0.05539406,0.003997426
1909,0.242159549,0.012103199
1910,0.241916823,-0.004713129
1911,0.241669976,-0.017121066
1912,0.215418639,-0.035164704
1913,-0.655227388,-0.042070688
1914,-0.036037901,-0.040539982
1915,0.162911442,-0.026775991
1916,0.230551446,0.012960753
1917,0.240059896,0.044951
1918,0.239826827,0.066088955
1919,0.239547044,0.069872033
1920,0.239263165,0.03721586
1921,0.238975186,0.006247097
1922,0.192767168,-0.012936006
1923,0.079482523,-0.030427682
1924,0.230125123,-0.034474303
1925,0.237782051,-0.026714256
1926,0.237473478,-0.005576675
1927,0.237160798,0.022760144
1928,0.236843994,0.046467863
1929,0.102270803,0.030929014
1930,0.105315332,0.022965815
1931,0.235868908,0.023177128
1932,0.175095426,0.000975443
1933,0.072320471,-0.015562053
1934,0.234856784,-0.022505192
1935,0.234511182,-0.014754991
1936,0.234161472,0.011807207
1937,0.233807637,0.069491105
1938,0.2334497,0.072716596
1939,0.23308763,0.062298183
1940,0.232721448,0.05939626
1941,0.232351171,0.039991591
1942,0.231976753,0.024234164
1943,0.231598226,0.005791151
1944,0.231215584,-0.012855396
1945,0.230828847,-0.00760081
1946,0.230437977,0.027684672
1947,0.230042987,0.044758679
1948,0.229643898,0.090184252
1949,0.229240684,0.105744011
1950,0.228833371,0.090747839
1951,0.228421931,0.057158453
1952,0.228006369,0.012638911
1953,0.227586708,0.010661935
1954,0.227162916,-0.002371802
1955,0.226735014,-0.002214728
1956,0.226303001,0.025055738
1957,0.225866869,0.085120676
1958,0.22542663,0.140971596
1959,0.224982267,0.148348622
1960,0.224533807,0.116747134
1961,0.224081223,0.095109484
1962,0.11138374,0.047058505
1963,-0.210560942,0.013677183
1964,-1.064355681,0.002084495
1965,-0.431425785,-0.003225144
1966,0.010599908,-0.000255593
1967,0.030369462,0.025326675
1968,-0.057767277,0.057061643
1969,0.058796025,0.073798401
1970,0.101841682,0.076757746
1971,0.021539937,0.078687518
1972,0.007086296,0.050055185
1973,0.140465937,0.048265187
1974,0.21328847,0.019473292
1975,-0.123574636,0.005395537
1976,-0.066833648,0.005675237
1977,0.138535531,0.001041957
1978,0.182426123,0.03112505
1979,0.190610351,0.077248973
1980,0.162054105,0.115961036
1981,0.10612981,0.108322711
1982,0.046003442,0.11087221
1983,-0.688627222,0.067596484
1984,-0.419519647,0.065785705
1985,-0.09227969,0.014804317
1986,0.028568802,-0.002380265
1987,0.061002911,-0.000259183
1988,0.128336221,0.010584463
1989,0.170535668,0.055609312
1990,0.190482738,0.117371927
1991,0.184511381,0.105951871
1992,-1.5759923,0.104195202
1993,-1.275635378,0.083534446
1994,-0.32067589,0.034701259
1995,0.074510724,0.005129601
1996,0.170450309,-0.000487593
1997,0.208517537,-0.012655272
1998,0.218595828,0.003701228
1999,0.21936777,0.05061655
2000,0.220621047,0.085073072
2001,0.220179941,0.110136855
2002,0.218107863,0.099598671
2003,0.215150037,0.104868677
2004,0.211283119,0.043571881
2005,0.207284653,0.016789555
2006,0.186177458,-0.009682365
2007,0.15563891,-0.015652004
2008,0.178391916,-0.0271628
2009,0.16839203,-0.029668862
2010,0.157275279,-0.029721937
2011,0.177945543,-0.007547777
2012,0.144545758,0.026778812
2013,0.195831233,0.041142496
2014,0.198859968,0.049433641
2015,0.178647312,0.059315907
